,Gene,HGNC Gene ID,Disease,MONDO Disease ID,SOP,Classification,Report Reference URL,Report Date,Status,Definitive,Gene QID,Disease QID
25,ADCY1,HGNC:232,autosomal recessive nonsyndromic deafness,MONDO_0019588,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8152,2017-05-10T00:00:00,error,no,Q17709600,absent
26,ADGRV1,HGNC:17416,Usher syndrome type 2C,MONDO_0011558,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/5663,2017-02-15T00:00:00,complete,yes,Q18047368,Q32143643
27,ADGRV1,HGNC:17416,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Disputed,https://search.clinicalgenome.org/kb/gene-validity/1f3dc96a-8fd3-4d30-98fd-1b1cf264e818--2019-03-19T16:00:00,2019-03-19T16:00:00.000Z,error,no,Q18047368,Q9079046
28,AFF2,HGNC:3776,FRAXE intellectual disability,MONDO_0010659,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9508,2017-10-20T00:00:00,complete,yes,Q17928899,Q21051307
29,AGPS,HGNC:327,rhizomelic chondrodysplasia punctata,MONDO_0015776,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/aba640e2-c95d-414b-8c72-d22769e4366a--2019-10-04T20:27:42,2019-10-04T20:27:42.154Z,error,yes,Q18033087,absent
30,AGTR2,HGNC:338,non-syndromic X-linked intellectual disability,MONDO_0019181,SOP4,Disputed,https://search.clinicalgenome.org/kb/gene-validity/3218,2016-11-16T00:00:00,error,no,Q17816212,absent
31,AIFM1,HGNC:8768,X-linked hereditary sensory and autonomic neuropathy with deafness,MONDO_0010378,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/a7afc3bb-7fce-45fd-a275-87277e22b1eb--2018-07-09T16:00:00,2018-07-09T16:00:00.000Z,error,yes,Q18033855,absent
32,AKAP9,HGNC:379,long QT syndrome 11,MONDO_0012738,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/3208,2016-12-15T00:00:00,error,no,Q18035065,Q32139811
33,ALDH4A1,HGNC:406,hyperprolinemia type 2,MONDO_0009401,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/5edc3f72-31e0-47f8-bcec-e3e5b81c97ae--2019-09-13T17:27:15,2019-09-13T17:27:15.767Z,error,no,Q18033190,absent
34,ALDH7A1,HGNC:877,pyridoxine-dependent epilepsy,MONDO_0009945,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/7a982307-d8bd-43d1-b356-ef7ee6f32045--2019-07-26T17:09:04,2019-07-26T17:09:04.469Z,complete,yes,Q17833695,Q7263591
